,time (year),cddi,cpi,del_,deldi,dswi,epp,gdp,ic,inv,ir,ni,outp,pnis,pri,prin,rocddi,rs,sa,sswi
0,1980.0,8.9407e-09,0.0170094,28087.0,1.0,1.0,28087.0,28087.0,0.4,11234.8,0.0170094,28087.0,28087.0,1.0,1.0,1.0,8.9407e-09,28087.0,28087.0,1.0
1,1980.02,8.9407e-09,0.0170139,28097.9,1.0,1.0,28097.9,28105.1,0.4,11234.8,0.0170094,28097.9,28105.1,1.0,1.0,1.00027,8.9407e-09,28087.0,28097.9,1.0
2,1980.03,8.91887e-09,0.0170184,28108.8,1.0,1.0,28108.8,28123.1,0.400002,11234.9,0.0170094,28108.8,28123.1,1.0,1.0,1.00053,8.91887e-09,28087.1,28108.8,1.0
3,1980.05,-1.3552e-07,0.0170229,28119.7,1.0,1.0,28119.7,28141.2,0.400005,11235.1,0.0170093,28119.7,28141.2,1.0,1.0,1.0008,-1.3552e-07,28087.5,28119.7,1.0
4,1980.06,-5.6586e-07,0.0170272,28130.5,1.0,0.999999,28130.5,28159.3,0.40001,11235.5,0.0170091,28130.5,28159.3,1.0,1.0,1.00106,-5.6586e-07,28088.0,28130.5,1.0
5,1980.08,-1.42104e-06,0.0170314,28141.2,1.0,0.999999,28141.2,28177.3,0.400016,11235.9,0.0170088,28141.2,28177.3,1.0,1.0,1.00133,-1.42104e-06,28088.6,28141.2,1.0
6,1980.09,-2.83776e-06,0.0170353,28151.9,1.0,0.999997,28151.9,28195.3,0.400024,11236.5,0.0170082,28151.9,28195.3,1.0,1.0,1.0016,-2.83776e-06,28089.5,28151.9,1.0
7,1980.11,-4.95078e-06,0.017039,28162.6,1.0,0.999995,28162.6,28213.4,0.400035,11237.1,0.0170074,28162.6,28213.4,1.0,1.00001,1.00186,-4.95078e-06,28090.4,28162.6,1.0
8,1980.12,-7.89313e-06,0.0170424,28173.2,1.0,0.999992,28173.2,28231.4,0.400047,11237.9,0.0170062,28173.2,28231.4,1.0,1.00001,1.00213,-7.89314e-06,28091.6,28173.2,0.999999
9,1980.14,-1.17963e-05,0.0170453,28183.7,1.0,0.999988,28183.7,28249.5,0.400061,11238.9,0.0170046,28183.7,28249.5,1.0,1.00002,1.00239,-1.17963e-05,28092.8,28183.7,0.999999
10,1980.16,-1.67904e-05,0.0170478,28194.2,1.0,0.999983,28194.2,28267.5,0.400077,11239.9,0.0170026,28194.2,28267.5,1.0,1.00003,1.00266,-1.67904e-05,28094.3,28194.2,0.999998
11,1980.17,-2.30043e-05,0.0170498,28204.7,0.999999,0.999977,28204.7,28285.6,0.400096,11241.0,0.017,28204.7,28285.6,1.0,1.00004,1.00293,-2.30044e-05,28095.8,28204.7,0.999997
12,1980.19,-3.05658e-05,0.0170513,28215.1,0.999999,0.999969,28215.1,28303.7,0.400117,11242.3,0.016997,28215.1,28303.7,1.0,1.00005,1.00319,-3.05658e-05,28097.5,28215.1,0.999996
13,1980.2,-3.96015e-05,0.0170521,28225.5,0.999998,0.99996,28225.5,28321.8,0.40014,11243.7,0.0169933,28225.5,28321.8,1.0,1.00007,1.00346,-3.96015e-05,28099.4,28225.5,0.999994
14,1980.22,-5.02369e-05,0.0170523,28235.8,0.999998,0.99995,28235.8,28339.9,0.400165,11245.2,0.016989,28235.8,28339.9,1.0,1.00008,1.00373,-5.0237e-05,28101.3,28235.8,0.999992
15,1980.23,-6.25968e-05,0.0170518,28246.1,0.999997,0.999937,28246.0,28358.1,0.400193,11246.8,0.016984,28246.1,28358.1,1.0,1.0001,1.00399,-6.2597e-05,28103.4,28246.1,0.999989
16,1980.25,-7.68048e-05,0.0170506,28256.4,0.999996,0.999923,28256.3,28376.2,0.400224,11248.6,0.0169783,28256.4,28376.2,1.0,1.00013,1.00426,-7.68051e-05,28105.7,28256.4,0.999986
17,1980.27,-9.29836e-05,0.0170485,28266.6,0.999995,0.999907,28266.4,28394.4,0.400257,11250.4,0.0169717,28266.6,28394.4,1.0,1.00015,1.00453,-9.2984e-05,28108.0,28266.6,0.999982
