,time (year),al,cac,ch4a,ch4bd,ch4ca,ch4e,ch4fpp,co2a,co2ab,co2ca,co2e,co2fch4,co2fpp,co2gdp,dacco2,ecim,ehs,ewff,fch4,fco2,fn2o,fog,ghge,hdo,hts,isc,iscega,kch4ekc,kn2oekf,leco2a,mel,mmch4e,mmf,mmn2oe,mrdi,mrs,n2oa,n2obd,n2oca,n2oe,n2ofpp,nch4e,nn2oe,ow,owlco2,pwa,rehe,tmmf,trhga,trhgs,wvc,wvf
0,1980.0,0.309412,0.0,2.5,0.333333,0.5,0.342443,0.82,2600.0,6.66667,329.114,20.0037,0.916667,0.0032,0.712204,0.0,6.52472,0.0,42.3094,0.41,1.05316,0.090472,0.18,27.9898,0.0,0.0,1200.0,12.0,0.05,0.11,60.0,0.018,0.152443,1.73364,0.00670751,0.000375,0.0015,1.052,0.0110737,0.2104,0.0157075,0.43,0.19,0.009,0.4,1.0,0.4,2.26667,2.63364,0.0100139,0.0100135,2.0,0.9
1,1980.02,0.309412,0.0,2.50014,0.333352,0.500028,0.342469,0.820094,2600.24,6.67062,329.144,20.011,0.916719,0.00320141,0.712005,0.0,6.53019,0.559135,42.3289,0.41007,1.05372,0.0905128,0.180141,27.9977,0.00559915,0.00559888,1199.97,11.9997,0.0499922,0.109983,60.0,0.0180147,0.152469,1.73445,0.00670772,0.000375315,0.00150126,1.05207,0.0110744,0.210414,0.0157077,0.430164,0.19,0.009,0.400335,1.0,0.4,2.26773,2.63485,0.0100139,0.0100135,2.0003,0.900408
2,1980.03,0.309411,0.0,2.50028,0.333371,0.500057,0.342495,0.820188,2600.47,6.67457,329.174,20.0182,0.916771,0.00320281,0.711806,0.0,6.53566,1.11832,42.3485,0.41014,1.05428,0.0905535,0.180281,28.0056,0.0111988,0.0111982,1199.94,11.9994,0.0499844,0.109966,60.0,0.0180293,0.152495,1.73526,0.00670794,0.000375629,0.00150252,1.05214,0.0110752,0.210429,0.0157079,0.430328,0.19,0.009,0.400671,1.0,0.400001,2.26879,2.63607,0.010014,0.0100135,2.0006,0.900815
3,1980.05,0.309411,0.0,2.50043,0.33339,0.500085,0.342521,0.820281,2600.71,6.67852,329.204,20.0255,0.916823,0.00320422,0.711608,0.0,6.54114,1.67754,42.3681,0.410211,1.05484,0.0905943,0.180422,28.0134,0.0167989,0.016798,1199.92,11.9992,0.0499766,0.109948,60.0,0.018044,0.152521,1.73607,0.00670815,0.000375944,0.00150377,1.05222,0.011076,0.210443,0.0157081,0.430492,0.19,0.009,0.401007,1.0,0.400003,2.26985,2.63729,0.010014,0.0100135,2.00091,0.901223
4,1980.06,0.309411,0.0,2.50057,0.333409,0.500114,0.342547,0.820375,2600.95,6.68247,329.234,20.0328,0.916876,0.00320562,0.711409,0.0,6.54661,2.23681,42.3877,0.410281,1.0554,0.090635,0.180563,28.0213,0.0223994,0.0223983,1199.89,11.9989,0.0499688,0.109931,60.0,0.0180587,0.152547,1.73688,0.00670836,0.000376258,0.00150503,1.05229,0.0110767,0.210458,0.0157084,0.430656,0.19,0.009,0.401342,1.0,0.400006,2.27092,2.63851,0.010014,0.0100135,2.00121,0.901631
5,1980.08,0.309411,0.0,2.50071,0.333428,0.500143,0.342573,0.820469,2601.19,6.68643,329.264,20.04,0.916928,0.00320703,0.711211,0.0,6.55208,2.79613,42.4072,0.410351,1.05596,0.0906758,0.180703,28.0291,0.0280004,0.027999,1199.86,11.9986,0.049961,0.109914,60.0,0.0180734,0.152573,1.73769,0.00670857,0.000376573,0.00150629,1.05236,0.0110775,0.210472,0.0157086,0.43082,0.19,0.009,0.401678,1.0,0.40001,2.27198,2.63973,0.010014,0.0100135,2.00151,0.902038
6,1980.09,0.30941,0.0,2.50086,0.333447,0.500171,0.342599,0.820562,2601.42,6.69038,329.294,20.0472,0.91698,0.00320844,0.711013,0.0,6.55756,3.35549,42.4268,0.410422,1.05652,0.0907166,0.180844,28.037,0.0336019,0.0336002,1199.83,11.9983,0.0499531,0.109897,60.0,0.018088,0.152599,1.7385,0.00670877,0.000376887,0.00150755,1.05243,0.0110783,0.210487,0.0157088,0.430984,0.19,0.009,0.402013,1.0,0.400016,2.27304,2.64095,0.010014,0.0100135,2.00181,0.902446
7,1980.11,0.30941,0.0,2.501,0.333467,0.5002,0.342625,0.820656,2601.66,6.69434,329.324,20.0545,0.917033,0.00320984,0.710815,0.0,6.56303,3.9149,42.4464,0.410492,1.05708,0.0907573,0.180984,28.0448,0.0392039,0.0392018,1199.8,11.998,0.0499453,0.10988,60.0,0.0181027,0.152625,1.73931,0.00670898,0.000377202,0.00150881,1.05251,0.011079,0.210501,0.015709,0.431148,0.19,0.009,0.402349,1.0,0.400022,2.27411,2.64217,0.010014,0.0100135,2.00211,0.902854
8,1980.12,0.30941,0.0,2.50114,0.333486,0.500228,0.342651,0.82075,2601.9,6.6983,329.354,20.0617,0.917085,0.00321125,0.710617,0.0,6.56851,4.47435,42.466,0.410562,1.05764,0.0907981,0.181125,28.0527,0.0448063,0.0448039,1199.77,11.9977,0.0499375,0.109863,60.0,0.0181174,0.152651,1.74012,0.00670919,0.000377517,0.00151007,1.05258,0.0110798,0.210516,0.0157092,0.431313,0.19,0.009,0.402685,1.0,0.400029,2.27517,2.64339,0.010014,0.0100135,2.00242,0.903262
9,1980.14,0.30941,0.0,2.50129,0.333505,0.500257,0.342677,0.820844,2602.14,6.70225,329.384,20.069,0.917138,0.00321266,0.710419,0.0,6.57399,5.03385,42.4856,0.410633,1.0582,0.0908389,0.181266,28.0605,0.0504092,0.0504065,1199.75,11.9975,0.0499297,0.109845,60.0,0.0181321,0.152677,1.74094,0.0067094,0.000377832,0.00151133,1.05265,0.0110805,0.21053,0.0157094,0.431477,0.19,0.009,0.40302,1.0,0.400037,2.27623,2.64461,0.010014,0.0100135,2.00272,0.90367
10,1980.16,0.30941,0.0,2.50143,0.333524,0.500286,0.342703,0.820938,2602.37,6.70621,329.414,20.0762,0.91719,0.00321406,0.710221,0.0,6.57946,5.59339,42.5052,0.410703,1.05876,0.0908797,0.181406,28.0683,0.0560125,0.0560095,1199.72,11.9972,0.0499219,0.109828,60.0,0.0181468,0.152703,1.74175,0.00670961,0.000378146,0.00151259,1.05272,0.0110813,0.210545,0.0157096,0.431641,0.19,0.009,0.403356,1.0,0.400047,2.27729,2.64582,0.0100141,0.0100135,2.00302,0.904078
11,1980.17,0.309409,0.0,2.50157,0.333543,0.500314,0.342729,0.821031,2602.61,6.71017,329.444,20.0835,0.917243,0.00321547,0.710024,0.0,6.58494,6.15298,42.5248,0.410774,1.05932,0.0909204,0.181547,28.0762,0.0616164,0.061613,1199.69,11.9969,0.0499141,0.109811,60.0,0.0181614,0.152729,1.74256,0.00670982,0.000378461,0.00151384,1.0528,0.0110821,0.210559,0.0157098,0.431805,0.19,0.009,0.403692,1.0,0.400057,2.27836,2.64704,0.0100141,0.0100135,2.00332,0.904486
