,time (year),cbc,cbc1980,cbsr,ccsd,csr,elti,gbc,isr,nccr,pi,pu,tgir,tir,wbc
0,1980.0,0.06,0.06,0.02,0.04,0.0103829,0.02,0.025,0.0303829,0.02,0.02,0.0326951,0.045,0.025,0.04
1,1980.02,0.06,0.06,0.0201622,0.04,0.010188,0.02,0.0251622,0.0303502,0.02,0.0199533,0.0326951,0.0451622,0.0251622,0.04
2,1980.03,0.0600025,0.06,0.0203214,0.0400025,0.00999749,0.0199999,0.0253214,0.0303189,0.02,0.0199073,0.0326936,0.0453213,0.0253214,0.0400025
3,1980.05,0.0600075,0.06,0.0204776,0.0400075,0.00981131,0.0199998,0.0254776,0.0302889,0.02,0.019862,0.0326908,0.0454774,0.0254776,0.0400075
4,1980.06,0.0600149,0.06,0.0206309,0.0400149,0.00962934,0.0199996,0.0256309,0.0302603,0.02,0.0198174,0.0326865,0.0456305,0.0256309,0.0400149
5,1980.08,0.0600245,0.06,0.0207814,0.0400245,0.00945145,0.0199993,0.0257814,0.0302328,0.02,0.0197735,0.0326811,0.0457807,0.0257814,0.0400245
6,1980.09,0.0600363,0.06,0.0209291,0.0400363,0.00927754,0.0199989,0.0259291,0.0302066,0.02,0.0197303,0.0326744,0.045928,0.0259291,0.0400363
7,1980.11,0.0600503,0.06,0.021074,0.0400503,0.0091075,0.0199985,0.026074,0.0301815,0.02,0.0196878,0.0326665,0.0460725,0.026074,0.0400503
8,1980.12,0.0600663,0.06,0.0212163,0.0400663,0.00894124,0.019998,0.0262163,0.0301576,0.02,0.0196459,0.0326576,0.0462144,0.0262163,0.0400663
9,1980.14,0.0600842,0.06,0.021356,0.0400842,0.00877864,0.0199975,0.026356,0.0301347,0.02,0.0196047,0.0326477,0.0463535,0.026356,0.0400842
10,1980.16,0.0601041,0.06,0.0214932,0.0401041,0.00861962,0.0199969,0.0264932,0.0301128,0.02,0.0195641,0.0326367,0.0464901,0.0264932,0.0401041
11,1980.17,0.0601258,0.06,0.0216279,0.0401258,0.00846409,0.0199962,0.0266279,0.030092,0.02,0.019524,0.0326247,0.0466241,0.0266279,0.0401258
12,1980.19,0.0601493,0.06,0.0217601,0.0401493,0.00831195,0.0199954,0.0267601,0.0300721,0.02,0.0194846,0.0326119,0.0467556,0.0267601,0.0401493
13,1980.2,0.0601744,0.06,0.02189,0.0401744,0.00816313,0.0199946,0.02689,0.0300531,0.02,0.0194457,0.0325981,0.0468847,0.02689,0.0401744
