,time (year),agiw,ahw,ahw1980,avwo,ceclr,chwo,cwra,cwso,eclr,enlpr2022,gdpperocclr,hfd,hwmgdpp,ilpr,iweoclr,lapr,laus,laus80,lpr,ltewso,nhw,nlpr,oclr,opwo,part,psw,pura,roceclr,rocwso,tct,unem,upt,ur,wap,wara,wash,weoclr,wf,wre,wrer,wso
0,1980.0,7.343,2.0,2.0,1581.71,0.820583,59.491,0.0,0.0,41.0,0.0,1.00071,0.766667,1.00021,0.8,1.0,9.17874,3060.0,3060.0,0.8,0.0075,2.0,0.85,41.0,1575.61,0.76,0.05,0.05,0.0200142,0.0,0.766667,51.7143,0.766667,0.0326951,1977.14,3.6715,0.4,1.0,1530.0,0.0,0.0,0.5
1,1980.02,7.343,2.0,2.0,1582.52,0.820805,59.1341,0.00103589,0.000141039,41.0128,0.0,1.00067,0.766667,1.0002,0.799978,0.999754,9.17908,3061.86,3060.0,0.8,0.00749824,2.0,0.84996,41.0128,1576.27,0.760282,0.0499824,0.0496473,0.0200134,0.000282145,0.766667,51.5908,0.766667,0.0326004,1978.15,3.6715,0.399985,1.0,1530.93,0.0,0.0,0.499883
2,1980.03,7.34304,2.0,2.0,1583.33,0.821028,58.8044,0.00205635,0.000279912,41.0256,0.0,1.00063,0.766667,1.00019,0.799956,0.999512,9.17944,3063.71,3060.0,0.8,0.00749652,2.0,0.849921,41.0254,1576.94,0.76056,0.049965,0.0492999,0.0200126,0.000560084,0.766667,51.4726,0.766667,0.0325091,1979.16,3.67151,0.399972,0.999995,1531.85,0.0,0.0,0.499768
3,1980.05,7.34311,2.0,2.0,1584.13,0.821251,58.5009,0.0030615,0.000416635,41.0385,0.0,1.00059,0.766667,1.00018,0.799935,0.999276,9.17982,3065.55,3060.0,0.8,0.00749483,2.0,0.849883,41.0379,1577.62,0.760834,0.0499479,0.0489577,0.0200117,0.000833846,0.766667,51.3592,0.766667,0.0324211,1980.16,3.67155,0.399958,0.999985,1532.77,0.0,0.0,0.499655
4,1980.06,7.34321,2.0,2.0,1584.94,0.821474,58.2228,0.00405147,0.00055123,41.0513,0.0,1.00055,0.766667,1.00016,0.799914,0.999043,9.18023,3067.38,3060.0,0.8,0.00749317,2.0,0.849845,41.0501,1578.32,0.761103,0.049931,0.0486207,0.0200109,0.00110346,0.766667,51.2503,0.766667,0.0323359,1981.17,3.67159,0.399946,0.999971,1533.69,0.0,0.0,0.499545
5,1980.08,7.34334,2.00001,2.0,1585.74,0.821698,57.969,0.00502642,0.000683717,41.0641,0.0,1.00051,0.766667,1.00015,0.799894,0.998816,9.18066,3069.2,3060.0,0.799999,0.00749154,2.00001,0.849808,41.0622,1579.04,0.761368,0.0499144,0.0482888,0.0200101,0.00136898,0.766667,51.1455,0.766667,0.0322534,1982.18,3.67166,0.399934,0.999952,1534.6,0.0,0.0,0.499436
6,1980.09,7.3435,2.00001,2.0,1586.55,0.821921,57.7389,0.00598649,0.000814119,41.077,0.0,1.00046,0.766667,1.00014,0.799874,0.998592,9.18112,3071.01,3060.0,0.799999,0.00748994,2.00001,0.849772,41.0741,1579.77,0.761629,0.0498981,0.047962,0.0200093,0.00163042,0.766667,51.0444,0.766667,0.0321733,1983.19,3.67174,0.399923,0.999929,1535.5,0.0,0.0,0.49933
7,1980.11,7.34369,2.00001,2.0,1587.35,0.822144,57.5315,0.00693186,0.000942462,41.0898,0.0,1.00042,0.766667,1.00013,0.799855,0.998373,9.18159,3072.82,3060.0,0.799999,0.00748838,2.00001,0.849737,41.0858,1580.51,0.761887,0.049882,0.0476402,0.0200085,0.00188785,0.766667,50.9466,0.766667,0.0320954,1984.19,3.67183,0.399912,0.999901,1536.4,0.0,0.0,0.499225
8,1980.12,7.34391,2.00001,2.0,1588.15,0.822368,57.346,0.00786271,0.00106877,41.1027,0.0,1.00038,0.766667,1.00011,0.799836,0.998158,9.18209,3074.62,3060.0,0.799998,0.00748685,2.00001,0.849702,41.0973,1581.27,0.76214,0.0498662,0.0473234,0.0200076,0.0021413,0.766667,50.8518,0.766667,0.0320194,1985.2,3.67194,0.399902,0.99987,1537.3,0.0,0.0,0.499123
9,1980.14,7.34415,2.00001,2.0,1588.96,0.822591,57.1817,0.00877923,0.00119307,41.1155,0.0,1.00034,0.766667,1.0001,0.799817,0.997948,9.1826,3076.41,3060.0,0.799998,0.00748534,2.00001,0.849668,41.1087,1582.04,0.762389,0.0498506,0.0470115,0.0200068,0.00239082,0.766667,50.7596,0.766667,0.0319452,1986.2,3.67206,0.399893,0.999835,1538.2,0.0,0.0,0.499023
10,1980.16,7.34443,2.00001,2.0,1589.76,0.822815,57.0378,0.00968162,0.0013154,41.1284,0.0,1.0003,0.766667,1.00009,0.799799,0.997741,9.18314,3078.2,3060.0,0.799997,0.00748387,2.00001,0.849634,41.12,1582.82,0.762634,0.0498352,0.0467044,0.020006,0.00263646,0.766667,50.6697,0.766667,0.0318725,1987.21,3.6722,0.399885,0.999797,1539.09,0.0,0.0,0.498924
11,1980.17,7.34474,2.00001,2.0,1590.57,0.823038,56.9136,0.0105701,0.00143577,41.1412,0.0,1.00026,0.766667,1.00008,0.799781,0.997539,9.18369,3079.98,3060.0,0.799996,0.00748242,2.00001,0.849602,41.1311,1583.62,0.762875,0.0498201,0.0464021,0.0200052,0.00287829,0.766667,50.5818,0.766667,0.0318012,1988.22,3.67235,0.399877,0.999755,1539.98,0.0,0.0,0.498828
12,1980.19,7.34507,2.00001,2.0,1591.37,0.823262,56.8084,0.0114448,0.00155423,41.1541,0.0,1.00022,0.766667,1.00007,0.799764,0.997341,9.18426,3081.76,3060.0,0.799996,0.007481,2.00001,0.849569,41.1421,1584.43,0.763112,0.0498052,0.0461046,0.0200044,0.00311635,0.766667,50.4956,0.766667,0.031731,1989.22,3.67251,0.399871,0.99971,1540.87,0.0,0.0,0.498734
13,1980.2,7.34543,2.00001,2.0,1592.17,0.823486,56.7214,0.0123061,0.0016708,41.167,0.0,1.00018,0.766667,1.00005,0.799747,0.997146,9.18484,3083.54,3060.0,0.799995,0.00747962,2.00001,0.849538,41.153,1585.25,0.763346,0.0497906,0.0458116,0.0200036,0.0033507,0.766667,50.4109,0.766667,0.0316617,1990.23,3.67269,0.399865,0.999662,1541.76,0.0,0.0,0.498641
14,1980.22,7.34581,2.00001,2.0,1592.97,0.823709,56.6521,0.0131541,0.00178551,41.1798,0.0,1.00014,0.766667,1.00004,0.799731,0.996956,9.18544,3085.31,3060.0,0.799994,0.00747825,2.00001,0.849507,41.1638,1586.08,0.763576,0.0497762,0.0455232,0.0200027,0.00358141,0.766667,50.3272,0.766667,0.0315932,1991.23,3.67289,0.39986,0.99961,1542.65,0.0,0.0,0.49855
15,1980.23,7.34622,2.00001,2.0,1593.78,0.823933,56.5997,0.0139891,0.0018984,41.1927,0.0,1.0001,0.766667,1.00003,0.799715,0.996769,9.18605,3087.08,3060.0,0.799994,0.00747692,2.00001,0.849477,41.1744,1586.93,0.763802,0.049762,0.0452393,0.0200019,0.00380853,0.766667,50.2443,0.766667,0.0315253,1992.24,3.67309,0.399855,0.999556,1543.53,0.0,0.0,0.498461
16,1980.25,7.34666,2.00001,2.0,1594.58,0.824157,56.5636,0.0148112,0.00200951,41.2056,0.0,1.00006,0.766667,1.00002,0.799699,0.996586,9.18667,3088.85,3060.0,0.799993,0.00747561,2.00001,0.849447,41.1849,1587.78,0.764025,0.049748,0.0449598,0.0200011,0.00403212,0.766667,50.1621,0.766667,0.0314579,1993.24,3.67331,0.399852,0.999499,1544.42,0.0,0.0,0.498374
17,1980.27,7.34712,2.00001,2.0,1595.38,0.824381,56.5433,0.0156209,0.00211886,41.2184,0.0,1.00001,0.766667,1.0,0.799684,0.996406,9.1873,3090.62,3060.0,0.799992,0.00747433,2.00001,0.849418,41.1954,1588.65,0.764244,0.0497342,0.0446847,0.0200003,0.00425227,0.766667,50.0801,0.766667,0.0313907,1994.25,3.67354,0.39985,0.99944,1545.3,0.0,0.0,0.498289
18,1980.28,7.34761,2.00001,2.0,1596.18,0.824604,56.5381,0.0164182,0.00222649,41.2313,0.0,0.999973,0.766667,0.999992,0.799669,0.996231,9.18794,3092.39,3060.0,0.799991,0.00747308,2.00001,0.84939,41.2057,1589.53,0.76446,0.0497207,0.0444137,0.0199995,0.00446901,0.766667,49.9983,0.766667,0.0313237,1995.25,3.67378,0.399849,0.999378,1546.18,0.0,0.0,0.498205
19,1980.3,7.34813,2.00001,2.0,1596.98,0.824828,56.5474,0.0172035,0.00233243,41.2442,0.0,0.999932,0.766667,0.99998,0.799655,0.996058,9.18859,3094.15,3060.0,0.79999,0.00747185,2.00001,0.849362,41.2159,1590.42,0.764673,0.0497073,0.044147,0.0199986,0.00468244,0.766667,49.9163,0.766667,0.0312566,1996.25,3.67404,0.399848,0.999314,1547.07,0.0,0.0,0.498123
20,1980.31,7.34866,2.00001,2.0,1597.78,0.825052,56.5708,0.017977,0.00243673,41.2571,0.0,0.999891,0.766667,0.999967,0.79964,0.99589,9.18924,3095.92,3060.0,0.799989,0.00747064,2.00001,0.849335,41.2261,1591.32,0.764882,0.0496942,0.0438842,0.0199978,0.00489261,0.766667,49.8339,0.766667,0.0311894,1997.26,3.67431,0.399849,0.999248,1547.95,0.0,0.0,0.498043
21,1980.33,7.34922,2.00001,2.0,1598.59,0.825276,56.6077,0.0187389,0.00253941,41.27,0.0,0.99985,0.766667,0.999955,0.799627,0.995725,9.1899,3097.69,3060.0,0.799988,0.00746946,2.00001,0.849308,41.2361,1592.23,0.765088,0.0496813,0.0436255,0.019997,0.00509959,0.766667,49.7509,0.766667,0.0311219,1998.26,3.67459,0.399851,0.999179,1548.83,0.0,0.0,0.497964
22,1980.34,7.34981,2.00001,2.0,1599.39,0.825499,56.6575,0.0194896,0.00264052,41.2829,0.0,0.999808,0.766667,0.999942,0.799613,0.995563,9.19056,3099.46,3060.0,0.799986,0.00746831,2.00001,0.849282,41.2461,1593.16,0.76529,0.0496685,0.0433707,0.0199962,0.00530345,0.766667,49.6672,0.766667,0.0310539,1999.27,3.67488,0.399854,0.999109,1549.72,0.0,0.0,0.497887
23,1980.36,7.35042,2.00001,2.0,1600.19,0.825723,56.7198,0.0202292,0.00274009,41.2958,0.0,0.999767,0.766667,0.99993,0.7996,0.995404,9.19123,3101.23,3060.0,0.799985,0.00746717,2.00001,0.849256,41.256,1594.09,0.76549,0.049656,0.0431197,0.0199953,0.00550427,0.766667,49.5824,0.766667,0.0309854,2000.27,3.67519,0.399858,0.999037,1550.6,0.0,0.0,0.497812
24,1980.38,7.35105,2.00001,2.0,1600.99,0.825947,56.7941,0.0209581,0.00283816,41.3087,0.0,0.999726,0.766667,0.999918,0.799587,0.995249,9.19189,3103.0,3060.0,0.799984,0.00746607,2.00001,0.849231,41.2658,1595.03,0.765687,0.0496436,0.0428724,0.0199945,0.00570211,0.766667,49.4964,0.766667,0.0309162,2001.27,3.6755,0.399864,0.998963,1551.49,0.0,0.0,0.497738
25,1980.39,7.3517,2.00001,2.0,1601.79,0.826171,56.8798,0.0216766,0.00293476,41.3216,0.0,0.999684,0.766667,0.999905,0.799575,0.995097,9.19256,3104.77,3060.0,0.799983,0.00746498,2.00001,0.849206,41.2756,1595.99,0.765881,0.0496314,0.0426287,0.0199937,0.00589705,0.766667,49.4091,0.766667,0.0308462,2002.28,3.67583,0.39987,0.998887,1552.38,0.0,0.0,0.497665
26,1980.41,7.35237,2.00001,2.0,1602.59,0.826395,56.9766,0.0223848,0.00302993,41.3345,0.0,0.999643,0.766667,0.999893,0.799563,0.994949,9.19323,3106.55,3060.0,0.799982,0.00746392,2.00001,0.849182,41.2853,1596.95,0.766071,0.0496194,0.0423886,0.0199929,0.00608915,0.766667,49.3202,0.766667,0.0307754,2003.28,3.67617,0.399878,0.99881,1553.27,0.0,0.0,0.497595
27,1980.42,7.35307,2.00001,2.0,1603.39,0.826618,57.0839,0.023083,0.00312371,41.3474,0.0,0.999601,0.766667,0.99988,0.799551,0.994803,9.19389,3108.33,3060.0,0.79998,0.00746288,2.00001,0.849159,41.2949,1597.92,0.76626,0.0496076,0.0421519,0.019992,0.0062785,0.766667,49.2296,0.766667,0.0307035,2004.28,3.67652,0.399887,0.998731,1554.16,0.0,0.0,0.497525
28,1980.44,7.35379,2.00001,2.0,1604.19,0.826842,57.2014,0.0237716,0.00321614,41.3603,0.0,0.99956,0.766667,0.999868,0.79954,0.994661,9.19455,3110.11,3060.0,0.799979,0.00746186,2.00001,0.849136,41.3045,1598.9,0.766445,0.0495959,0.0419186,0.0199912,0.00646516,0.766667,49.1371,0.766667,0.0306305,2005.29,3.67688,0.399898,0.998651,1555.05,0.0,0.0,0.497458
29,1980.45,7.35453,2.00001,2.0,1604.99,0.827066,57.3286,0.0244508,0.00330725,41.3732,0.0,0.999518,0.766667,0.999855,0.799529,0.994522,9.19521,3111.9,3060.0,0.799978,0.00746087,2.00001,0.849113,41.3141,1599.89,0.766628,0.0495844,0.0416885,0.0199904,0.0066492,0.766667,49.0425,0.766667,0.0305564,2006.29,3.67725,0.39991,0.99857,1555.94,0.0,0.0,0.497391
30,1980.47,7.35529,2.00001,2.0,1605.78,0.82729,57.4652,0.0251208,0.00339709,41.3862,0.0,0.999476,0.766667,0.999843,0.799518,0.994385,9.19586,3113.69,3060.0,0.799976,0.0074599,2.00001,0.849091,41.3236,1600.9,0.766808,0.0495731,0.0414616,0.0199895,0.0068307,0.766667,48.9458,0.766667,0.0304809,2007.29,3.67763,0.399923,0.998487,1556.84,0.0,0.0,0.497326
31,1980.48,7.35607,2.0,2.0,1606.58,0.827514,57.6107,0.025782,0.00348568,41.3991,0.0,0.999435,0.766667,0.99983,0.799507,0.994252,9.1965,3115.48,3060.0,0.799975,0.00745894,2.0,0.849069,41.333,1601.9,0.766986,0.0495619,0.0412378,0.0199887,0.00700974,0.766667,48.8467,0.766667,0.0304041,2008.29,3.67803,0.399938,0.998403,1557.74,0.0,0.0,0.497263
32,1980.5,7.35687,2.0,2.0,1607.38,0.827738,57.7648,0.0264346,0.00357307,41.412,0.0,0.999393,0.766667,0.999818,0.799497,0.994122,9.19713,3117.28,3060.0,0.799973,0.00745801,2.0,0.849048,41.3424,1602.92,0.767161,0.0495509,0.041017,0.0199879,0.00718637,0.766667,48.7452,0.766667,0.0303258,2009.29,3.67843,0.399954,0.998319,1558.64,0.0,0.0,0.497201
33,1980.52,7.35769,2.0,2.0,1608.18,0.827962,57.927,0.0270788,0.00365929,41.425,0.0,0.999352,0.766667,0.999805,0.799488,0.993994,9.19776,3119.08,3060.0,0.799972,0.0074571,2.0,0.849028,41.3518,1603.95,0.767334,0.04954,0.0407991,0.019987,0.00736069,0.766667,48.641,0.766667,0.030246,2010.3,3.67884,0.399972,0.998233,1559.54,0.0,0.0,0.49714
34,1980.53,7.35854,2.0,2.0,1608.98,0.828186,58.0971,0.027715,0.00374438,41.4379,0.0,0.99931,0.766667,0.999793,0.799478,0.99387,9.19837,3120.89,3060.0,0.79997,0.00745621,2.0,0.849007,41.3611,1604.99,0.767504,0.0495292,0.0405841,0.0199862,0.00753275,0.766667,48.5341,0.766667,0.0301646,2011.3,3.67927,0.399991,0.998147,1560.44,0.0,0.0,0.497081
35,1980.55,7.3594,2.0,2.0,1609.78,0.82841,58.2747,0.0283434,0.00382838,41.4508,0.0,0.999268,0.766667,0.99978,0.799469,0.993748,9.19897,3122.7,3060.0,0.799969,0.00745534,2.0,0.848988,41.3704,1606.03,0.767673,0.0495186,0.0403717,0.0199854,0.00770263,0.766667,48.4244,0.766667,0.0300814,2012.3,3.6797,0.400012,0.99806,1561.35,0.0,0.0,0.497023
36,1980.56,7.36028,2.0,2.0,1610.58,0.828634,58.4594,0.0289642,0.00391133,41.4638,0.0,0.999227,0.766667,0.999768,0.79946,0.993629,9.19956,3124.52,3060.0,0.799967,0.00745449,2.0,0.848969,41.3797,1607.08,0.767839,0.0495081,0.040162,0.0199845,0.00787041,0.766667,48.3165,0.766667,0.0299995,2013.31,3.68014,0.400035,0.997972,1562.26,0.0,0.0,0.496966
