,time (year),cfeta,cta,fb15,iel,lk,pb15,pgdpp,rggdpp
0,1980.0,3027.7,3027.7,0.885695,0.892683,0.267805,3914.77,5.952,0.0169067
1,1980.02,3029.11,3029.11,0.885556,0.892393,0.267718,3915.05,5.95357,0.0169472
2,1980.03,3030.53,3030.53,0.885418,0.892108,0.267632,3915.33,5.95515,0.0169872
3,1980.05,3031.94,3031.94,0.885281,0.891827,0.267548,3915.62,5.95673,0.0170268
4,1980.06,3033.35,3033.35,0.885145,0.891551,0.267465,3915.92,5.95831,0.0170659
5,1980.08,3034.77,3034.77,0.885011,0.891279,0.267384,3916.22,5.9599,0.0171047
6,1980.09,3036.18,3036.18,0.884877,0.891011,0.267303,3916.53,5.9615,0.0171431
7,1980.11,3037.59,3037.59,0.884744,0.890748,0.267224,3916.83,5.96309,0.0171812
8,1980.12,3039.01,3039.01,0.884612,0.890489,0.267147,3917.15,5.96469,0.0172191
9,1980.14,3040.42,3040.42,0.884482,0.890233,0.26707,3917.47,5.9663,0.0172568
10,1980.16,3041.84,3041.84,0.884351,0.889982,0.266995,3917.79,5.96791,0.0172943
11,1980.17,3043.26,3043.26,0.884222,0.889735,0.26692,3918.12,5.96952,0.0173316
12,1980.19,3044.68,3044.68,0.884094,0.889492,0.266848,3918.45,5.97114,0.0173687
13,1980.2,3046.1,3046.1,0.883966,0.889252,0.266776,3918.78,5.97276,0.0174057
14,1980.22,3047.52,3047.52,0.883839,0.889017,0.266705,3919.12,5.97438,0.0174426
15,1980.23,3048.95,3048.95,0.883713,0.888785,0.266635,3919.46,5.97601,0.0174794
16,1980.25,3050.38,3050.38,0.883588,0.888557,0.266567,3919.81,5.97764,0.0175161
17,1980.27,3051.81,3051.81,0.883463,0.888332,0.2665,3920.16,5.97928,0.0175528
18,1980.28,3053.25,3053.25,0.883339,0.888111,0.266433,3920.51,5.98092,0.0175893
19,1980.3,3054.69,3054.69,0.883215,0.887893,0.266368,3920.86,5.98256,0.0176258
20,1980.31,3056.13,3056.13,0.883093,0.887679,0.266304,3921.22,5.98421,0.0176623
21,1980.33,3057.57,3057.57,0.882971,0.887469,0.266241,3921.59,5.98586,0.0176986
22,1980.34,3059.02,3059.02,0.882849,0.887262,0.266178,3921.95,5.98752,0.0177349
23,1980.36,3060.47,3060.47,0.882728,0.887058,0.266117,3922.32,5.98917,0.0177711
24,1980.38,3061.93,3061.93,0.882608,0.886857,0.266057,3922.69,5.99084,0.0178073
25,1980.39,3063.38,3063.38,0.882488,0.886659,0.265998,3923.07,5.99251,0.0178434
26,1980.41,3064.84,3064.84,0.882369,0.886465,0.26594,3923.45,5.99418,0.0178794
27,1980.42,3066.3,3066.3,0.882251,0.886274,0.265882,3923.83,5.99585,0.0179154
28,1980.44,3067.77,3067.77,0.882133,0.886086,0.265826,3924.21,5.99753,0.0179512
29,1980.45,3069.23,3069.23,0.882016,0.885901,0.26577,3924.6,5.99921,0.0179869
30,1980.47,3070.7,3070.7,0.881899,0.885719,0.265716,3924.99,6.0009,0.0180226
31,1980.48,3072.17,3072.17,0.881783,0.88554,0.265662,3925.38,6.00259,0.0180581
32,1980.5,3073.65,3073.65,0.881667,0.885363,0.265609,3925.78,6.00428,0.0180934
33,1980.52,3075.12,3075.12,0.881552,0.88519,0.265557,3926.18,6.00598,0.0181287
34,1980.53,3076.6,3076.6,0.881438,0.885019,0.265506,3926.58,6.00768,0.0181637
35,1980.55,3078.08,3078.08,0.881324,0.884852,0.265456,3926.98,6.00938,0.0181986
36,1980.56,3079.56,3079.56,0.881211,0.884687,0.265406,3927.39,6.01109,0.0182333
37,1980.58,3081.04,3081.04,0.881098,0.884525,0.265357,3927.8,6.01281,0.0182678
38,1980.59,3082.52,3082.52,0.880986,0.884365,0.26531,3928.22,6.01452,0.0183021
39,1980.61,3084.0,3084.0,0.880875,0.884208,0.265263,3928.64,6.01624,0.0183362
40,1980.62,3085.49,3085.49,0.880764,0.884054,0.265216,3929.06,6.01797,0.01837
41,1980.64,3086.97,3086.97,0.880654,0.883903,0.265171,3929.48,6.01969,0.0184035
42,1980.66,3088.46,3088.46,0.880544,0.883754,0.265126,3929.91,6.02142,0.0184368
43,1980.67,3089.94,3089.94,0.880435,0.883607,0.265082,3930.34,6.02316,0.0184697
44,1980.69,3091.43,3091.43,0.880327,0.883463,0.265039,3930.77,6.0249,0.0185024
45,1980.7,3092.91,3092.91,0.88022,0.883322,0.264996,3931.21,6.02664,0.0185347
46,1980.72,3094.39,3094.39,0.880112,0.883183,0.264955,3931.65,6.02838,0.0185667
47,1980.73,3095.88,3095.88,0.880006,0.883046,0.264914,3932.09,6.03013,0.0185983
48,1980.75,3097.36,3097.36,0.8799,0.882912,0.264874,3932.54,6.03189,0.0186295
49,1980.77,3098.84,3098.84,0.879795,0.88278,0.264834,3932.99,6.03364,0.0186603
50,1980.78,3100.32,3100.32,0.879691,0.882651,0.264795,3933.45,6.0354,0.0186907
51,1980.8,3101.8,3101.8,0.879587,0.882524,0.264757,3933.9,6.03716,0.0187207
52,1980.81,3103.27,3103.27,0.879484,0.882399,0.26472,3934.36,6.03893,0.0187502
53,1980.83,3104.75,3104.75,0.879382,0.882277,0.264683,3934.83,6.0407,0.0187793
54,1980.84,3106.22,3106.22,0.87928,0.882157,0.264647,3935.3,6.04247,0.0188079
55,1980.86,3107.69,3107.69,0.879179,0.882039,0.264612,3935.77,6.04425,0.018836
56,1980.88,3109.16,3109.16,0.879079,0.881924,0.264577,3936.24,6.04602,0.0188636
57,1980.89,3110.62,3110.62,0.87898,0.881811,0.264543,3936.72,6.04781,0.0188907
58,1980.91,3112.08,3112.08,0.878881,0.8817,0.26451,3937.21,6.04959,0.0189172
59,1980.92,3113.54,3113.54,0.878783,0.881591,0.264477,3937.69,6.05138,0.0189432
60,1980.94,3115.0,3115.0,0.878686,0.881485,0.264445,3938.18,6.05317,0.0189687
61,1980.95,3116.45,3116.45,0.87859,0.88138,0.264414,3938.68,6.05497,0.0189936
62,1980.97,3117.9,3117.9,0.878494,0.881278,0.264383,3939.18,6.05676,0.0190179
63,1980.98,3119.35,3119.35,0.878399,0.881178,0.264354,3939.68,6.05856,0.0190416
64,1981.0,3120.79,3120.79,0.878305,0.881081,0.264324,3940.19,6.06036,0.0190648
65,1981.02,3122.22,3122.22,0.878212,0.880985,0.264296,3940.7,6.06217,0.0190873
66,1981.03,3123.66,3123.66,0.87812,0.880892,0.264268,3941.21,6.06398,0.0191093
67,1981.05,3125.09,3125.09,0.878028,0.880801,0.26424,3941.73,6.06579,0.0191306
68,1981.06,3126.51,3126.51,0.877937,0.880712,0.264214,3942.25,6.0676,0.0191513
69,1981.08,3127.93,3127.93,0.877847,0.880625,0.264187,3942.78,6.06942,0.0191713
70,1981.09,3129.35,3129.35,0.877758,0.88054,0.264162,3943.31,6.07124,0.0191908
71,1981.11,3130.76,3130.76,0.87767,0.880458,0.264137,3943.85,6.07306,0.0192096
72,1981.12,3132.17,3132.17,0.877582,0.880377,0.264113,3944.39,6.07488,0.0192278
73,1981.14,3133.66,3133.66,0.877495,0.880299,0.26409,3944.93,6.0767,0.0192453
74,1981.16,3135.99,3135.99,0.877409,0.880223,0.264067,3945.48,6.07853,0.0192622
75,1981.17,3138.31,3138.31,0.877324,0.880149,0.264045,3946.03,6.08036,0.0192785
76,1981.19,3140.62,3140.62,0.87724,0.880077,0.264023,3946.59,6.08219,0.0192941
77,1981.2,3142.92,3142.92,0.877157,0.880008,0.264002,3947.15,6.08403,0.0193092
78,1981.22,3145.21,3145.21,0.877075,0.87994,0.263982,3947.72,6.08586,0.0193235
79,1981.23,3147.49,3147.49,0.876993,0.879875,0.263963,3948.28,6.0877,0.0193373
80,1981.25,3149.76,3149.76,0.876912,0.879812,0.263944,3948.86,6.08954,0.0193505
81,1981.27,3152.01,3152.01,0.876832,0.879751,0.263925,3949.44,6.09138,0.019363
82,1981.28,3154.26,3154.26,0.876753,0.879692,0.263908,3950.02,6.09322,0.019375
83,1981.3,3156.5,3156.5,0.876675,0.879636,0.263891,3950.61,6.09507,0.0193864
84,1981.31,3158.72,3158.72,0.876597,0.879581,0.263874,3951.2,6.09691,0.0193971
85,1981.33,3160.93,3160.93,0.876521,0.879529,0.263859,3951.79,6.09876,0.0194074
86,1981.34,3163.14,3163.14,0.876445,0.879479,0.263844,3952.39,6.10061,0.0194171
87,1981.36,3165.33,3165.33,0.87637,0.879431,0.263829,3953.0,6.10246,0.0194262
88,1981.38,3167.51,3167.51,0.876296,0.879385,0.263816,3953.6,6.10431,0.0194348
89,1981.39,3169.68,3169.68,0.876223,0.879342,0.263803,3954.22,6.10617,0.0194429
90,1981.41,3171.85,3171.85,0.87615,0.879301,0.26379,3954.83,6.10802,0.0194505
91,1981.42,3174.0,3174.0,0.876079,0.879262,0.263779,3955.45,6.10988,0.0194577
92,1981.44,3176.14,3176.14,0.876008,0.879225,0.263768,3956.08,6.11174,0.0194644
93,1981.45,3178.27,3178.27,0.875938,0.879191,0.263757,3956.71,6.1136,0.0194706
94,1981.47,3180.39,3180.39,0.875868,0.879159,0.263748,3957.34,6.11546,0.0194765
95,1981.48,3182.5,3182.5,0.8758,0.879129,0.263739,3957.98,6.11732,0.0194819
96,1981.5,3184.6,3184.6,0.875732,0.879101,0.26373,3958.62,6.11918,0.019487
97,1981.52,3186.7,3186.7,0.875665,0.879076,0.263723,3959.26,6.12104,0.0194918
98,1981.53,3188.78,3188.78,0.875598,0.879053,0.263716,3959.91,6.12291,0.0194962
99,1981.55,3190.86,3190.86,0.875533,0.879032,0.26371,3960.56,6.12477,0.0195003
100,1981.56,3192.93,3192.93,0.875468,0.879014,0.263704,3961.22,6.12664,0.0195042
101,1981.58,3194.99,3194.99,0.875403,0.878998,0.263699,3961.88,6.1285,0.0195078
