,time (year),avca,cap,capis,capus,cbcefca,cdpis,cdpus,cipis,cipus,coca,cpis,cpus,crr,cucpis,cucpus,cucpus1980,ecr,ede,edefca,edelc,etfp,facnc,fracamgdppl,fracamgdppt,incpis,isgdp,lcpis,lcpus,lcpus1980,obsgipis,obsgipus,ogr,oly,oov,oro,owecc,owelc,pede,wsoefca
0,1980.0,7672.9,64600.0,6715.0,606.333,1.0,3950.0,356.667,8068.0,1630.87,1.0,59250.0,5350.0,0.113333,10072.5,909.5,909.5,0.0,1.02995,1.0,1.0,1.0,1.05149,1.00142,1.0,8068.0,0.335316,15.0,15.0,15.0,0.0,0.01,0.06,26497.1,28087.0,28087.0,1.0,1.0,1.0,1.5
1,1980.02,7693.18,64647.1,6729.09,617.006,1.0,3953.8,356.927,8089.32,1637.31,1.0,59293.2,5353.9,0.113488,10093.6,925.508,909.5,1.77326e-05,1.02953,1.00234,1.00023,1.0,1.05149,1.00134,1.0,8089.32,0.336081,14.9965,15.0,15.0,0.0,0.01,0.06,26522.0,28105.1,28105.1,1.0,1.0,1.00047,1.50007
2,1980.03,7713.23,64694.5,6743.26,627.634,0.999966,3957.59,357.198,8110.48,1643.65,1.0,59336.6,5357.96,0.113644,10114.9,941.451,909.5,3.54851e-05,1.02912,1.00461,1.00046,1.0,1.0515,1.00126,1.0,8110.48,0.336837,14.9931,15.0,15.0,0.0,0.01,0.0599952,26546.7,28123.1,28123.1,1.0,1.0,1.00092,1.50014
3,1980.05,7733.05,64742.3,6757.5,638.217,0.9999,3961.37,357.479,8131.47,1649.9,1.0,59380.1,5362.19,0.113801,10136.3,957.326,909.5,5.32579e-05,1.02871,1.00681,1.00068,1.0,1.05152,1.00117,1.0,8131.47,0.337582,14.9898,15.0,15.0,0.0,0.01,0.0599856,26571.3,28141.2,28141.2,1.0,1.0,1.00136,1.50021
4,1980.06,7752.64,64790.4,6771.82,648.756,0.999802,3965.13,357.772,8152.29,1656.04,1.0,59423.8,5366.58,0.113958,10157.7,973.134,909.5,7.10509e-05,1.0283,1.00895,1.0009,1.0,1.05155,1.00109,1.0,8152.29,0.338317,14.9866,15.0,15.0,0.0,0.01,0.0599715,26595.9,28159.3,28159.3,1.0,1.0,1.00179,1.50027
5,1980.08,7772.01,64838.8,6786.2,659.248,0.999673,3968.88,358.075,8172.94,1662.1,1.0,59467.6,5371.12,0.114116,10179.3,988.872,909.5,8.88643e-05,1.02789,1.01102,1.0011,1.0,1.05159,1.00101,1.0,8172.94,0.339041,14.9835,15.0,15.0,0.0,0.01,0.0599529,26620.3,28177.3,28177.3,1.0,1.0,1.0022,1.50033
6,1980.09,7791.16,64887.5,6800.64,669.695,0.999516,3972.61,358.389,8193.41,1668.05,1.0,59511.7,5375.83,0.114274,10201.0,1004.54,909.5,0.000106698,1.02747,1.01303,1.0013,1.0,1.05163,1.00093,1.0,8193.41,0.339755,14.9805,15.0,15.0,0.0,0.01,0.05993,26644.6,28195.3,28195.3,1.0,1.0,1.00261,1.50039
7,1980.11,7810.09,64936.5,6815.15,680.094,0.99933,3976.33,358.713,8213.71,1673.92,1.0,59555.8,5380.69,0.114433,10222.7,1020.14,909.5,0.000124553,1.02706,1.01497,1.0015,1.00001,1.05168,1.00085,1.0,8213.71,0.340459,14.9776,15.0,15.0,0.0,0.01,0.059903,26668.9,28213.4,28213.4,1.0,1.0,1.00299,1.50044
8,1980.12,7828.81,64985.9,6829.72,690.447,0.999117,3980.04,359.048,8233.84,1679.69,1.0,59600.2,5385.71,0.114592,10244.6,1035.67,909.5,0.000142428,1.02665,1.01685,1.00169,1.00001,1.05174,1.00076,1.0,8233.84,0.341153,14.9748,15.0,15.0,0.0,0.01,0.0598719,26693.0,28231.4,28231.4,1.0,1.0,1.00337,1.50049
9,1980.14,7847.31,65035.6,6844.34,700.751,0.998877,3983.74,359.393,8253.79,1685.38,1.0,59644.7,5390.89,0.114752,10266.5,1051.13,909.5,0.000160323,1.02623,1.01867,1.00187,1.00001,1.0518,1.00068,1.0,8253.79,0.341836,14.972,15.0,15.0,0.0,0.01,0.059837,26717.0,28249.5,28249.5,1.0,1.0,1.00373,1.50053
10,1980.16,7865.6,65085.7,6859.03,711.008,0.998612,3987.42,359.748,8273.57,1690.98,1.0,59689.4,5396.23,0.114912,10288.5,1066.51,909.5,0.000178239,1.02582,1.02043,1.00204,1.00001,1.05187,1.0006,1.0,8273.57,0.342508,14.9694,15.0,15.0,0.0,0.01,0.0597983,26741.0,28267.6,28267.6,1.0,1.0,1.00409,1.50058
