,time (year),a0020,a2040,a20pa,a4060,a60pl,birthr,births,cefr,deathr,deaths,dnc,dr,efr,egdpp,epa,fm,gdpp,le,le60,lem,of,op,pa,pass20,pass40,pass60,pgr,pop,pw,wele
0,1980.0,2170.0,1100.0,1977.14,768.0,382.0,0.0214027,94.6,0.0,0.00678733,30.0,4.3,1.36617,0.0,6.4,0.0,1.0,6.35452,67.0,7.0,1.0,3.44,272.857,62.0,100.0,64.0,38.0,0.0146154,4420.0,0.138006,1.0
1,1980.02,2169.92,1100.56,1978.15,768.406,382.125,0.0214089,94.6491,0.0,0.00678578,30.0,4.30003,1.36548,0.0,6.39993,0.0,1.0,6.35716,66.9998,6.9998,1.0,3.44002,272.943,62.0,100.0,64.0,38.0,0.0146231,4421.01,0.137979,1.0
2,1980.03,2169.83,1101.12,1979.16,768.812,382.25,0.0214151,94.6981,0.0,0.00678443,30.0009,4.30006,1.3648,0.0,6.39986,0.0,1.0,6.3598,66.9996,6.99962,1.0,3.44005,273.03,62.0,100.0,64.0,38.0,0.0146307,4422.02,0.137953,1.0
3,1980.05,2169.75,1101.69,1980.16,769.219,382.375,0.0214213,94.747,0.0,0.00678306,30.0017,4.30009,1.36411,0.0,6.3998,0.0,1.0,6.36243,66.9994,6.99945,1.0,3.44007,273.116,62.0,100.0,64.0,38.0,0.0146382,4423.03,0.137926,1.0
4,1980.06,2169.67,1102.25,1981.17,769.625,382.5,0.0214275,94.796,0.0,0.00678168,30.0024,4.30011,1.36343,0.0,6.39974,0.0,1.0,6.36505,66.9993,6.99928,1.0,3.44009,273.203,62.0,100.0,64.0,38.0,0.0146458,4424.04,0.1379,1.0
5,1980.08,2169.59,1102.81,1982.18,770.031,382.625,0.0214336,94.8449,0.0,0.00678029,30.0031,4.30014,1.36275,0.0,6.39969,0.0,1.0,6.36767,66.9991,6.99913,1.0,3.44011,273.29,62.0,100.0,64.0,38.0,0.0146533,4425.05,0.137874,1.0
6,1980.09,2169.51,1103.38,1983.19,770.438,382.75,0.0214397,94.8937,0.0,0.00677888,30.0038,4.30016,1.36207,0.0,6.39964,0.0,1.0,6.37029,66.999,6.999,1.0,3.44013,273.377,62.0,100.0,64.0,38.0,0.0146609,4426.07,0.137847,1.0
7,1980.11,2169.43,1103.94,1984.19,770.844,382.875,0.0214459,94.9426,0.0,0.00677747,30.0044,4.30018,1.36139,0.0,6.39959,0.0,1.0,6.37291,66.9989,6.99887,1.0,3.44014,273.464,62.0,100.0,64.0,38.0,0.0146684,4427.08,0.137822,1.0
8,1980.12,2169.35,1104.5,1985.2,771.25,383.0,0.021452,94.9913,0.0,0.00677604,30.005,4.3002,1.36071,0.0,6.39955,0.0,1.0,6.37552,66.9988,6.99875,1.0,3.44016,273.552,62.0,100.0,64.0,38.0,0.0146759,4428.1,0.137796,1.0
9,1980.14,2169.27,1105.06,1986.2,771.656,383.125,0.021458,95.0401,0.0,0.0067746,30.0055,4.30021,1.36003,0.0,6.39951,0.0,1.0,6.37814,66.9986,6.99865,1.0,3.44017,273.639,62.0,100.0,64.0,38.0,0.0146834,4429.11,0.13777,1.0
