,time (year),ctfp,drta,ectaf2022,ectagdp,gssgdp,ipr,irota,itfp,owtfp,plua,ppp,psep,psp,rrotai,rta,rtfpua,sc,tfpee5ta,tfpie5ta,vpss
0,1980.0,0.01,0.01,0.0,0.0,0.19226,1.32099,0.0,1.0,1.0,0.0,1.09606,1.00431,1.22172,1.0,0.01,0.0,0.158046,1.0,1.0,4439.04
1,1980.02,0.0100016,0.01,0.0,0.0,0.193027,1.31585,0.0,1.00016,1.0,0.0,1.09216,1.00515,1.22711,1.0,0.01,0.0,0.158113,1.00016,1.00016,4443.76
2,1980.03,0.0100031,0.01,0.0,0.0,0.19378,1.31089,0.0,1.00031,1.0,0.0,1.08839,1.00599,1.2324,1.0,0.01,0.0,0.15818,1.00031,1.00031,4448.52
3,1980.05,0.0100047,0.01,0.0,0.0,0.194517,1.30611,0.0,1.00047,1.0,0.0,1.08473,1.00685,1.2376,1.0,0.01,0.0,0.158249,1.00047,1.00047,4453.33
4,1980.06,0.0100063,0.01,0.0,0.0,0.19524,1.30151,0.0,1.00063,1.0,0.0,1.0812,1.00772,1.24271,1.0,0.01,0.0,0.15832,1.00063,1.00063,4458.18
5,1980.08,0.0100078,0.01,0.0,0.0,0.195948,1.29707,0.0,1.00078,1.0,0.0,1.07779,1.00859,1.24773,1.0,0.01,0.0,0.158393,1.00078,1.00078,4463.08
6,1980.09,0.0100094,0.01,0.0,0.0,0.196642,1.29279,0.0,1.00094,1.0,0.0,1.07448,1.00948,1.25267,1.0,0.01,0.0,0.158467,1.00094,1.00094,4468.03
7,1980.11,0.0100109,0.01,0.0,0.0,0.197323,1.28868,0.0,1.00109,1.0,0.0,1.0713,1.01038,1.25752,1.0,0.01,0.0,0.158543,1.00109,1.00109,4473.04
8,1980.12,0.0100125,0.01,0.0,0.0,0.197989,1.28472,0.0,1.00125,1.0,0.0,1.06822,1.0113,1.26228,1.0,0.01,0.0,0.158622,1.00125,1.00125,4478.12
9,1980.14,0.0100141,0.01,0.0,0.0,0.198642,1.28091,0.0,1.00141,1.0,0.0,1.06525,1.01222,1.26697,1.0,0.01,0.0,0.158702,1.00141,1.00141,4483.25
10,1980.16,0.0100156,0.01,0.0,0.0,0.199282,1.27724,0.0,1.00156,1.0,0.0,1.06238,1.01317,1.27157,0.999997,0.00999997,0.0,0.158785,1.00156,1.00156,4488.46
11,1980.17,0.0100168,0.01,0.0,0.0,0.199908,1.27372,0.0,1.00172,1.0,0.0,1.05962,1.01413,1.27609,0.999957,0.00999956,0.0,0.15887,1.00172,1.00172,4493.74
