,time (year),awbdi,awbgw,awbi,awbin,awbp,awbps,iest,ipp,ird,ist,orp,pawbi,psestr,pssgdp,rd,ste,steerd,soc_trust,strerd,wbep
0,1980.0,0.933916,1.0,0.672371,0.87122,0.88,0.82008,0.987805,30.0,30.0,0.633052,0.0,0.65,0.640867,0.19226,30.0,1.3,1.0,0.6,1.0,1.0
1,1980.02,0.934327,1.0,0.673675,0.870872,0.880038,0.823696,0.987322,30.0,29.9952,0.635267,6.41821e-06,0.650039,0.643425,0.193027,30.0,1.2999,0.999926,0.600052,0.999914,1.0
2,1980.03,0.934727,1.0,0.674956,0.87053,0.880079,0.827249,0.986847,30.0,29.9901,0.637436,1.31751e-05,0.65008,0.645932,0.19378,30.0,1.2998,0.999848,0.600107,0.999822,1.0
3,1980.05,0.935118,1.0,0.676214,0.870193,0.880121,0.83074,0.986379,30.0,29.9847,0.639558,2.02616e-05,0.650123,0.64839,0.194517,30.0,1.2997,0.999766,0.600165,0.999725,1.0
4,1980.06,0.935499,1.0,0.677449,0.869861,0.880166,0.834171,0.985918,30.0,29.9791,0.641635,2.76692e-05,0.650168,0.650799,0.19524,30.0,1.29958,0.999681,0.600227,0.999622,1.0
5,1980.08,0.93587,1.0,0.678663,0.869535,0.880212,0.837543,0.985465,29.9999,29.9732,0.643667,3.53893e-05,0.650216,0.653161,0.195948,29.9999,1.29947,0.999592,0.600291,0.999515,1.0
6,1980.09,0.93623,1.0,0.679854,0.869213,0.88026,0.840856,0.985019,29.9999,29.967,0.645655,4.34135e-05,0.650265,0.655475,0.196642,29.9999,1.29935,0.999499,0.600359,0.999402,0.999999
7,1980.11,0.936581,1.0,0.681025,0.868897,0.88031,0.844111,0.98458,29.9998,29.9606,0.6476,5.17337e-05,0.650316,0.657742,0.197323,29.9998,1.29922,0.999403,0.60043,0.999284,0.999999
8,1980.12,0.936922,1.0,0.682174,0.868586,0.880361,0.84731,0.984147,29.9998,29.954,0.649502,6.03421e-05,0.65037,0.659964,0.197989,29.9998,1.29909,0.999304,0.600504,0.999161,0.999999
9,1980.14,0.937254,1.0,0.683302,0.86828,0.880414,0.850453,0.983722,29.9997,29.9471,0.651363,6.92307e-05,0.650425,0.662141,0.198642,29.9997,1.29896,0.999201,0.60058,0.999033,0.999999
10,1980.16,0.937575,1.0,0.68441,0.867979,0.880469,0.853541,0.983304,29.9996,29.9399,0.653182,7.8392e-05,0.650482,0.664273,0.199282,29.9996,1.29882,0.999095,0.600659,0.998901,0.999998
11,1980.17,0.937886,1.0,0.685498,0.867682,0.880525,0.856575,0.982892,29.9995,29.9326,0.654961,8.78186e-05,0.650541,0.666361,0.199908,29.9995,1.29868,0.998987,0.600742,0.998764,0.999998
12,1980.19,0.938187,1.0,0.686566,0.86739,0.880583,0.859557,0.982486,29.9994,29.925,0.6567,9.75032e-05,0.650602,0.668407,0.200522,29.9994,1.29854,0.998875,0.600826,0.998623,0.999997
13,1980.2,0.938478,1.0,0.687614,0.867103,0.880642,0.862486,0.982087,29.9993,29.9172,0.658401,0.000107439,0.650664,0.67041,0.201123,29.9993,1.29839,0.99876,0.600914,0.998478,0.999997
14,1980.22,0.93876,1.0,0.688643,0.86682,0.880703,0.865364,0.981694,29.9992,29.9092,0.660063,0.000117618,0.650728,0.672371,0.201711,29.9992,1.29824,0.998643,0.601003,0.998328,0.999996
15,1980.23,0.939031,1.0,0.689653,0.866542,0.880765,0.868191,0.981308,29.999,29.901,0.661687,0.000128035,0.650794,0.674291,0.202287,29.999,1.29808,0.998523,0.601096,0.998174,0.999996
16,1980.25,0.939292,1.0,0.690645,0.866268,0.880828,0.870969,0.980928,29.9989,29.8926,0.663275,0.000138682,0.650862,0.676171,0.202851,29.9989,1.29792,0.9984,0.60119,0.998016,0.999995
